Id,SalePrice
2658,124909.4499313375
2718,170638.83291450466
2414,204985.8048711357
1989,93941.46732933221
625,138116.30880255427
333,150505.4432128375
1327,110083.40338477043
858,164178.23753565195
95,207662.72653187983
1568,150940.19980300314
2482,134405.1303969092
1364,131794.03193055495
2584,110147.18249650796
818,238968.0710319165
2673,186059.51349027822
2089,178612.21030537042
1297,132033.50384747807
790,131101.8923883082
2616,161565.77790831088
720,185695.5092065678
222,151813.17812197082
557,140445.26323937502
1148,210603.05415641947
2766,157896.8431390006
534,197164.6747624963
1452,137288.88874261003
630,149480.2644818242
2648,150680.03430650072
125,119379.98924638791
1904,66788.19883082868
1670,188429.55793046794
756,111170.7421491462
717,248752.87719431357
1032,153648.33523844878
852,250820.0790283259
1731,157428.97017807912
2639,120841.31322604511
2071,154757.36952090336
1267,160965.88960354138
1851,199822.24751867796
567,175857.4554117336
2439,294183.938555826
1898,167248.89601332904
647,159137.8448549315
2256,219375.13467369674
979,146607.35622826504
1444,231904.79622353677
2485,103570.3542373425
157,120655.0682920383
88,116812.85687142107
2003,114859.5186510191
186,214284.39159835922
1425,233452.98128037655
2695,108303.03355248514
738,84654.44901447099
395,126245.9177929218
1353,160821.4814252021
1878,140889.2870299308
390,155524.69335704832
1456,214499.34508314173
1103,284920.6999074735
1387,136446.9785091606
2070,173403.46840442612
1199,159188.95915036157
2479,192703.08544615694
501,262094.5232574789
2362,90480.37546258254
1718,221345.05485948228
2188,153672.46185983095
1483,165456.88184646616
2557,136540.5248105881
437,356727.03280747397
2224,163770.60430676857
1628,207789.00004173466
397,170030.19650432994
587,155538.24404110183
2182,388622.12727320124
971,139807.000608224
2611,145301.66690272497
1887,96983.40434516844
2399,298736.7438723993
2148,286290.13557962375
304,122764.32195170023
1997,153200.76889828482
2817,140386.5411311868
1431,227461.18488969354
427,314982.2332671845
263,103234.63271948049
598,158167.1021737802
2895,198288.06305573514
687,167320.07165623264
1822,144372.9551772484
2191,122290.50136158781
179,68621.08315966678
1009,247401.19866348337
2010,136461.7785065973
1991,157982.94301446292
1411,159964.00857389343
1721,280546.79427042877
1144,211911.09232654152
593,249719.28792538383
575,206771.860157659
1249,188122.84844474625
1604,79205.43910554965
1064,332560.40226611093
1923,150726.57915809203
1988,115173.01122494336
2325,159801.4295317637
114,203578.49557511052
2700,154482.312710808
217,133983.3470441728
343,147024.20825848094
386,234376.2225929796
2005,150973.6817615144
2908,78297.51344804108
1814,215987.1200979705
2446,388412.9497668439
208,192136.7916660317
1679,139307.09592146333
822,260415.5961736475
6,161209.88908784237
1781,284495.5241604877
2397,288812.2557436492
2340,277569.0526887374
1618,131256.44710041175
2843,196525.82103174104
1061,306220.790235531
2786,106272.50438910468
1935,131579.78899689115
1341,108870.5265722638
521,246056.84236113893
2136,129962.2628682403
996,161947.88083870264
227,183860.52838259988
135,133760.53495092853
1167,128975.41879203096
294,201896.75780332155
1776,231439.15157868885
540,224914.68227030846
1717,196886.7120070887
2303,112843.38724052547
116,164704.39831114447
127,136635.1705613579
1371,132176.1045969993
1014,192978.1630514334
1507,131062.11021800454
702,122104.02000557003
750,166419.70998322693
261,139647.93017232275
1559,88308.8711490323
577,212399.89020841414
2812,260132.30646670508
2080,181965.21084610073
1368,124481.32909076233
2376,121061.72999948979
659,145780.322120429
1235,134314.0226151685
332,113011.8492154883
1917,144191.32182884653
2094,236633.594364485
1460,241408.36688990047
1471,182210.52274861786
1509,116249.96374042591
1922,120975.6092846868
433,331761.3591880148
460,269818.0032735822
1116,183492.39668994973
1137,150723.01730888526
53,160872.24605664483
2354,260692.24970916126
1475,161999.70846600906
1761,404857.85238453315
842,150296.84232596066
2739,140545.085691256
2509,206773.33017475373
1007,239108.53578070822
2610,173607.17640627892
1952,130606.06419339364
2719,204755.49673216045
2921,93910.48634529657
1966,139023.030401039
292,174761.0420009567
1204,197368.663559956
1829,200736.95258344762
2419,200767.11862600342
391,156819.6686365331
798,166850.05186650448
481,242852.27477906796
193,207357.9253828427
555,141418.35188117236
899,108448.07170859023
2357,184315.17101926528
328,162718.9392766956
1356,103092.13291285624
1154,150467.19887629955
1730,231242.19219253835
2249,166271.9961514905
1119,234015.17786060722
2856,139338.34460460523
1394,235639.54549830194
2587,102133.27462945727
61,304533.47132582846
2661,188065.55341697275
2711,109276.96630614795
1147,171421.60113371874
757,130166.563071819
2623,155797.59984751925
2378,163356.3407444565
1413,165518.8994414874
1722,246561.25640344454
1112,213802.06439194558
1623,186460.91795183174
1201,214309.95541545132
1513,137514.35848353463
957,216179.8155145698
1171,267431.4651449524
1145,199886.8303268415
2726,178576.05560722423
703,190276.7923496174
760,109858.75991277139
1964,139714.49845920323
2512,199962.23959809938
159,182048.38616502847
1281,197978.76977130346
468,162734.34502120284
290,136348.67467291193
665,134024.41385320862
1463,252294.64589956886
1792,218655.08756629794
923,149533.0319416041
500,343883.5685067465
1408,166879.4689163352
331,101471.43980998218
170,166156.0502724732
2192,113198.2656100563
2571,223243.44362400015
2314,195886.53306457173
2647,105583.38081069376
422,355925.8349128792
2457,262186.9614898042
1838,177633.4291264737
2805,234996.56480883135
1645,151610.7261926241
1711,315881.02160828863
2825,250949.71223330143
322,330962.6917765575
2103,218803.33228619723
342,111762.23451544499
600,119426.1778220594
488,125053.75153292867
1725,335085.41674578853
2246,246311.1944874447
2847,121829.64493613422
806,263735.5668499975
530,261424.09455183253
963,174520.1025051481
2678,48973.28527091525
171,113496.76451420049
2401,351882.38004908775
805,214079.78908664355
2259,189001.97488356486
1748,185388.07974527133
1361,133869.07990257983
1677,118810.53852424241
1406,91661.80581409227
2322,261162.45168167236
688,153323.77512633207
143,135602.6603678403
804,228909.64394433936
1214,124025.83473477045
2828,185862.89252966992
1999,164088.7056992446
2467,196908.13406207005
2665,186714.76677243
1538,303374.0035939927
398,115570.64787784172
2822,110438.82246708202
2157,156135.5568607812
1856,160430.04480222968
1269,117822.84018837077
2570,125609.4655854003
2320,278766.8848611808
1517,118650.27658982325
2304,129210.89895638466
1312,79247.9694655701
2012,148938.92710185144
506,325584.0431076662
2865,239909.82305247855
2367,115934.5383095305
554,137378.96787764924
238,175374.5581103827
1954,103630.28768422174
2488,133591.58279490142
2291,117291.24428581478
1969,123159.15382437051
2725,167712.97753565962
1482,136096.9425573338
2763,172573.4427214674
503,272574.8952960285
1584,221238.13495267506
1531,182461.159243847
2210,184868.99279072788
459,296657.81639146287
556,95639.2566036091
1347,159262.70671920845
1290,97391.64531052795
1388,104465.9830024347
1571,179747.31596984324
2754,185178.4735753841
765,147964.15270958876
2494,169944.61985275065
2870,204663.03289656385
7,222411.91545735995
1114,221535.0779333585
2418,255430.2863285467
291,166853.65900492063
18,338480.64924939885
39,334290.66125113535
1001,299691.00955010625
2442,260626.8101131518
616,149062.34551989974
2680,108868.55358294518
1414,153274.79945598138
289,158928.37842048024
40,252923.77266822473
860,96315.90384880787
409,156088.6298955091
673,143657.09979316368
2427,285778.2246020345
2036,218563.05649019039
2564,156695.62636408384
642,142369.7485979308
1008,230317.20239623627
1908,157962.86625687793
2519,143041.61741847664
1369,97091.25538402662
2855,185291.8160200992
712,163244.61146390738
1943,160551.42697486415
1958,142445.01899027528
107,164201.69590063306
2295,156520.969436388
704,98527.64836612837
676,131303.44034897047
259,166200.26357655486
93,275804.18686102465
106,209032.81385773298
2315,161523.38650662435
1050,173387.05247601937
1095,205362.0839447408
2709,124568.85746230473
758,137474.74242410983
1496,152790.45514653827
2370,120724.45425463023
2458,222541.91687927864
2733,195529.2124723951
161,251712.90594222525
726,140040.21376702536
845,188050.36162659535
947,301877.82990788436
2232,111375.772794313
2563,189584.10145369603
2299,130560.45869187792
211,114183.1079232604
605,195011.56254909505
1478,194205.73889235698
2247,223877.46145779657
2274,154726.72101559944
2869,205179.51812227123
967,236693.33046505088
2656,116803.26574196547
667,173848.9120462947
1042,117530.02422116073
2023,134518.98656323913
2447,332162.3619977704
2055,118246.85518783279
2275,263830.04516345134
2204,214070.42092631944
1563,289842.79098409077
483,221056.0016772694
796,161745.3970122855
1526,160946.2668030727
2042,139192.12122656874
442,299259.97529291443
1693,350294.1634656676
1468,257425.3786617641
1430,166220.2971014312
2605,231555.21462343572
1529,233485.04283388762
335,148461.42084696327
1287,94666.5274025224
31,125890.929399201
1785,263176.6643863983
82,175897.7636187781
2620,152096.09059378997
252,146206.82328314288
